u,v,name,highway,length,geometry_wkt
635681778,6725404940,Healeys Lane,pedestrian,3.9087909106304286,"LINESTRING (144.955622 -37.8130958, 144.9556375 -37.8131288)"
6725404940,8076030197,Healeys Lane,pedestrian,69.68542116012955,"LINESTRING (144.9556375 -37.8131288, 144.9559139 -37.8137171)"
8076030197,6167236640,Healeys Lane,pedestrian,28.44017227307734,"LINESTRING (144.9559139 -37.8137171, 144.9560267 -37.8139572)"
6167236640,103116481,Healeys Lane,pedestrian,6.479340460757565,"LINESTRING (144.9560267 -37.8139572, 144.9560524 -37.8140119)"
103118884,2291073995,Brights Place,pedestrian,37.6239561031359,"LINESTRING (144.9554782 -37.8125073, 144.9553226 -37.8121916)"
2291073995,2181268828,Brights Place,pedestrian,8.656951262110478,"LINESTRING (144.9553226 -37.8121916, 144.9552848 -37.8121196)"
103293548,6721990380,Equitable Place,pedestrian,4.88119349900213,"LINESTRING (144.963003 -37.815412, 144.9630217 -37.8154534)"
6721990380,13779656380,Equitable Place,pedestrian,2.379538380829048,"LINESTRING (144.9630217 -37.8154534, 144.9630311 -37.8154735)"
13779656380,612015102,Equitable Place,pedestrian,69.87917785535824,"LINESTRING (144.9630311 -37.8154735, 144.963305 -37.8160644)"
128977294,13827270499,Bligh Place,pedestrian,33.36880417229338,"LINESTRING (144.9636727 -37.8170623, 144.9637999 -37.8173455)"
13827270499,6721914010,Bligh Place,pedestrian,2.0020206978948836,"LINESTRING (144.9637999 -37.8173455, 144.9638075 -37.8173625)"
6721914010,113541129,Bligh Place,pedestrian,4.299673526260478,"LINESTRING (144.9638075 -37.8173625, 144.9638235 -37.8173991)"
6167247298,607756458,University Arcade,footway,2.490718167260376,"LINESTRING (144.9642352 -37.8182673, 144.9642249 -37.8182464)"
114569851,6721914021,Degraves Street,pedestrian,4.680105099311971,"LINESTRING (144.9655791 -37.8168745, 144.9655977 -37.816914)"
6721914021,13200402753,Degraves Street,pedestrian,44.383165760715805,"LINESTRING (144.9655977 -37.816914, 144.965771 -37.8172895)"
114569880,4451156232,Degraves Street,pedestrian,2.818012773569026,"LINESTRING (144.9657977 -37.8173473, 144.9658085 -37.8173712)"
4451156232,13085696201,Degraves Street,pedestrian,45.640230884468444,"LINESTRING (144.9658085 -37.8173712, 144.965983 -37.8177584)"
13085696201,6167254904,Degraves Street,pedestrian,0.6116582787999506,"LINESTRING (144.965983 -37.8177584, 144.9659853 -37.8177636)"
591382595,114569880,Degraves Place,pedestrian,22.18143230007067,"LINESTRING (144.9655626 -37.8174191, 144.9657977 -37.8173473)"
594172912,594179721,Centreway Arcade,footway,1.8797976452513667,"LINESTRING (144.9654407 -37.8164015, 144.9654337 -37.8163855)"
591321361,6721914023,Scott Alley,pedestrian,4.838001730880383,"LINESTRING (144.9662977 -37.8166632, 144.966316 -37.8167043)"
6721914023,13838223800,Scott Alley,pedestrian,29.79516402124672,"LINESTRING (144.966316 -37.8167043, 144.9664266 -37.816958)"
114581307,6721914032,Manchester Lane,pedestrian,2.8601566215103897,"LINESTRING (144.9662118 -37.816688, 144.9662003 -37.8166639)"
6721914032,13838640662,Manchester Lane,pedestrian,2.5114104882200903,"LINESTRING (144.9662003 -37.8166639, 144.96619 -37.8166428)"
13838640662,126932343,Manchester Lane,pedestrian,49.30721398627808,"LINESTRING (144.96619 -37.8166428, 144.9659959 -37.8162261)"
8633692034,126935728,Wales Arcade,footway,21.742420485139164,"LINESTRING (144.9662167 -37.8157248, 144.9663038 -37.8159081)"
126935728,594172793,Wales Arcade,footway,20.72614847891034,"LINESTRING (144.9663038 -37.8159081, 144.9665247 -37.8158436)"
113541129,6721914002,Mill Place,pedestrian,2.992572206280359,"LINESTRING (144.9638235 -37.8173991, 144.9638349 -37.8174245)"
6721914002,607756403,Mill Place,pedestrian,49.94931452490977,"LINESTRING (144.9638349 -37.8174245, 144.9640323 -37.8178464)"
128982235,6721914009,Fulham Place,pedestrian,4.002900056169029,"LINESTRING (144.9631789 -37.8175829, 144.9631641 -37.8175488)"
6721914009,13827254550,Fulham Place,pedestrian,5.524192059788447,"LINESTRING (144.9631641 -37.8175488, 144.9631431 -37.8175019)"
13827254550,13827254547,Fulham Place,pedestrian,34.16252711144346,"LINESTRING (144.9631431 -37.8175019, 144.9630131 -37.8172119)"
13827254547,128982252,Fulham Place,pedestrian,26.136413589898172,"LINESTRING (144.9630131 -37.8172119, 144.962912 -37.8169905)"
613315545,13866690745,Hardware Lane,pedestrian,45.070693458163824,"LINESTRING (144.9614659 -37.8141146, 144.9612868 -37.8137342)"
